url,price,address,beds,dens,baths,sqft,mls_id,property_type,street,neighbourhood,city,date_scraped
https://torontocondoteam.ca/5501-50-charles-st-e-c6630322,3380000,5501 - 50 Charles St E,2,0,3,1800-1999,C6630322,condo_apartment,Charles St E,Church-Yonge Corridor,Toronto,2024-02-05
https://torontocondoteam.ca/217-1000-king-st-w-c7313156,899900,217 - 1000 King St W,2,0,2,900-999,C7313156,condo_apartment,King St W,Niagara,Toronto,2024-02-05
https://torontocondoteam.ca/335-58-marine-parade-dr-w7371314,610000,335 - 58 Marine Parade Dr,1,0,1,500-599,W7371314,condo_apartment,Marine Parade Dr,Mimico,Toronto,2024-02-05
https://torontocondoteam.ca/809-1461-lawrence-ave-w-w6818156,619900,809 - 1461 Lawrence Ave W,2,0,2,700-799,W6818156,condo_apartment,Lawrence Ave W,Brookhaven-Amesbury,Toronto,2024-02-05
https://torontocondoteam.ca/313-4-elsinore-path-w7285008,560000,313 - 4 Elsinore Path,2,0,1,700-799,W7285008,condo_apartment,Elsinore Path,New Toronto,Toronto,2024-02-05
https://torontocondoteam.ca/331-58-marine-parade-dr-w7379682,575999,331 - 58 Marine Parade Dr,1,0,1,500-599,W7379682,condo_apartment,Marine Parade Dr,Mimico,Toronto,2024-02-05
https://torontocondoteam.ca/417-1-leaside-park-dr-c7020912,589900,417 - 1 Leaside Park Dr,1,0,1,700-799,C7020912,condo_apartment,Leaside Park Dr,Thorncliffe Park,Toronto,2024-02-05
https://torontocondoteam.ca/4409-70-temperance-st-c7007660,689000,4409 - 70 Temperance St,1,1,1,500-599,C7007660,condo_apartment,Temperance St,Bay Street Corridor,Toronto,2024-02-05
https://torontocondoteam.ca/2206-25-grenville-st-c6815180,599900,2206 - 25 Grenville St,1,1,1,700-799,C6815180,condo_apartment,Grenville St,Bay Street Corridor,Toronto,2024-02-05
https://torontocondoteam.ca/1711-330-richmond-st-w-c6804480,788888,1711 - 330 Richmond St W,1,1,1,600-699,C6804480,condo_apartment,Richmond St W,Waterfront Communities C1,Toronto,2024-02-05
https://torontocondoteam.ca/1203-55-bloor-st-e-c7317988,758000,1203 - 55 Bloor St E,2,0,2,700-799,C7317988,condo_apartment,Bloor St E,Church-Yonge Corridor,Toronto,2024-02-05
https://torontocondoteam.ca/1813-260-scarlett-rd-w7386856,729000,1813 - 260 Scarlett Rd,2,0,2,1000-1199,W7386856,condo_apartment,Scarlett Rd,Rockcliffe-Smythe,Toronto,2024-02-05
https://torontocondoteam.ca/1905-501-st-clair-ave-w-c7049152,1159000,1905 - 501 St Clair Ave W,2,1,2,800-899,C7049152,condo_apartment,St Clair Ave W,Casa Loma,Toronto,2024-02-05
https://torontocondoteam.ca/1909-77-harbour-sq-c7268522,795000,1909 - 77 Harbour Sq,1,0,1,700-799,C7268522,condo_apartment,Harbour Sq,Waterfront Communities C1,Toronto,2024-02-05
https://torontocondoteam.ca/103-15-brunel-crt-c7014914,649900,103 - 15 Brunel Crt,1,0,1,700-799,C7014914,condo_apartment,Brunel Crt,Waterfront Communities C1,Toronto,2024-02-05
https://torontocondoteam.ca/314-380-macpherson-ave-c7297528,979000,314 - 380 Macpherson Ave,1,1,1,800-899,C7297528,condo_apartment,Macpherson Ave,Casa Loma,Toronto,2024-02-05
https://torontocondoteam.ca/4-200-clinton-st-c7296196,1995000,4 - 200 Clinton St,2,0,2,1600-1799,C7296196,condo_apartment,Clinton St,Palmerston-Little Italy,Toronto,2024-02-05
https://torontocondoteam.ca/408-637-lake-shore-blvd-w-c7302798,1199000,408 - 637 Lake Shore Blvd W,1,0,1,1000-1199,C7302798,condo_apartment,Lake Shore Blvd W,Niagara,Toronto,2024-02-05
https://torontocondoteam.ca/405-150-logan-ave-e6787680,1252990,405 - 150 Logan Ave,2,0,2,900-999,E6787680,condo_apartment,Logan Ave,South Riverdale,Toronto,2024-02-05
https://torontocondoteam.ca/26-viewbank-rd-e-e7294966,989999,26 Viewbank Rd E,2,0,2,not_provided,E7294966,condo_apartment,Viewbank Rd E,Birchcliffe-Cliffside,Toronto,2024-02-05
https://torontocondoteam.ca/2703-70-annie-craig-dr-w-w7000266,699990,2703 - 70 Annie Craig Dr W,1,1,2,600-699,W7000266,condo_apartment,Annie Craig Dr W,Mimico,Toronto,2024-02-05
https://torontocondoteam.ca/1212-islington-ave-w6803908,1199999,1212 Islington Ave,2,2,2,not_provided,W6803908,condo_apartment,Islington Ave,Islington-City Centre West,Toronto,2024-02-05
https://torontocondoteam.ca/40-sixth-st-w7294258,2999998,40 Sixth St,4,1,5,3500-5000,W7294258,condo_apartment,Sixth St,New Toronto,Toronto,2024-02-05
https://torontocondoteam.ca/317-8835-sheppard-ave-e-e6782972,770000,317 - 8835 Sheppard Ave E,3,0,3,1200-1399,E6782972,condo_apartment,Sheppard Ave E,Rouge E11,Toronto,2024-02-05
https://torontocondoteam.ca/102-155-beecroft-rd-w-c6792464,545000,102 - 155 Beecroft Rd W,1,0,1,500-599,C6792464,condo_apartment,Beecroft Rd W,Lansing-Westgate,Toronto,2024-02-05
https://torontocondoteam.ca/24-highgate-rd-w6793080,1949900,24 Highgate Rd,3,0,3,1500-2000,W6793080,condo_apartment,Highgate Rd,Kingsway South,Toronto,2024-02-05
https://torontocondoteam.ca/196-fern-ave-w7270550,2399000,196 Fern Ave,4,0,4,1500-2000,W7270550,condo_apartment,Fern Ave,High Park-Swansea,Toronto,2024-02-05
https://torontocondoteam.ca/113-princess-margaret-blvd-w6816670,3189000,113 Princess Margaret Blvd,4,2,4,not_provided,W6816670,condo_apartment,Princess Margaret Blvd,Princess-Rosethorn,Toronto,2024-02-05
https://torontocondoteam.ca/2012-185-roehampton-ave-c6791672,614999,2012 - 185 Roehampton Ave,1,0,1,500-599,C6791672,condo_apartment,Roehampton Ave,Mount Pleasant West,Toronto,2024-02-05
https://torontocondoteam.ca/42-grangemill-cres-c7308176,4499800,42 Grangemill Cres,5,1,6,not_provided,C7308176,condo_apartment,Grangemill Cres,Banbury-Don Mills,Toronto,2024-02-05
https://torontocondoteam.ca/33-551-steeles-ave-w-c7033494,849900,33 - 551 Steeles Ave  W,3,1,3,1000-1199,C7033494,condo_apartment,Steeles Ave  W,Newtonbrook West,Toronto,2024-02-05
