url,address,price,baths,beds,dens,street,neighbourhood,city,area,mls_id,property_type,date_scraped
https://niagara-falls.listing.ca/7276-optimist-lane-15.X7264840.htm#2r-rt,7276 Optimist Lane 15,799000,2,2,0,Optimist Lane,not_provided,Niagara Falls,Other,X7264840,condo_townhome,2024-01-30
https://guelph.listing.ca/85-mullin-dr-1b.X7264254.htm#2r-ru,85 Mullin Dr 1B,617500,2,2,0,Mullin Dr,Brant,Guelph,Other,X7264254,condo_townhome,2024-01-30
https://guelph.listing.ca/186-law-dr-34.X7263912.htm#2r-rv,186 Law Dr 34,699900,3,2,0,Law Dr,Grange Hill East,Guelph,Other,X7263912,condo_townhome,2024-01-30
https://kitchener.listing.ca/51-paulander-dr-51.X7262402.htm#2r-rw,51 Paulander Dr 51,624900,2,3,0,Paulander Dr,not_provided,Kitchener,Other,X7262402,condo_townhome,2024-01-30
https://mississauga.listing.ca/220-forum-dr-th-111.W7269504.htm#2r-rx,220 Forum Dr Th#111,679900,3,3,0,Forum Dr,Hurontario,Mississauga,Peel Region,W7269504,condo_townhome,2024-01-30
https://toronto.listing.ca/721-lawrence-ave-66.W7268142.htm#2r-ry,721 Lawrence Ave 66,899000,2,3,0,Lawrence Ave,Yorkdale-Glen Park,Toronto,Toronto,W7268142,condo_townhome,2024-01-30
https://brampton.listing.ca/200-veterans-dr-90.W7267392.htm#2r-rz,200 Veterans Dr 90,749000,3,3,0,Veterans Dr,Brampton North,Brampton,Peel Region,W7267392,condo_townhome,2024-01-30
https://toronto.listing.ca/26-fieldway-rd-42.W7267080.htm#2r-s0,26 Fieldway Rd 42,579000,1,1,1,Fieldway Rd,Islington-City Centre West,Toronto,Toronto,W7267080,condo_townhome,2024-01-30
https://toronto.listing.ca/28-fieldway-rd-53.W7267022.htm#2r-s1,28 Fieldway Rd 53,649900,1,2,0,Fieldway Rd,Islington-City Centre West,Toronto,Toronto,W7267022,condo_townhome,2024-01-30
https://oakville.listing.ca/2464-post-rd-15.W7265540.htm#2r-s2,2464 Post Rd 15,649000,2,2,0,Post Rd,River Oaks,Oakville,Halton Region,W7265540,condo_townhome,2024-01-30
https://mississauga.listing.ca/4975-southampton-dr-271.W7265504.htm#2r-s3,4975 Southampton Dr 271,649000,2,2,0,Southampton Dr,Churchill Meadows,Mississauga,Peel Region,W7265504,condo_townhome,2024-01-30
https://oakville.listing.ca/39-hays-blvd-6.W7264346.htm#2r-s4,39 Hays Blvd 6,694900,2,2,0,Hays Blvd,Uptown Core,Oakville,Halton Region,W7264346,condo_townhome,2024-01-30
https://mississauga.listing.ca/4005-hickory-dr-th02.W7264300.htm#2r-s5,4005 Hickory Dr Th02,829900,2,2,0,Hickory Dr,Rathwood,Mississauga,Peel Region,W7264300,condo_townhome,2024-01-30
https://toronto.listing.ca/150-canon-jackson-dr-201.W7263290.htm#2r-s6,150 Canon Jackson Dr 201,974900,3,3,0,Canon Jackson Dr,Brookhaven-Amesbury,Toronto,Toronto,W7263290,condo_townhome,2024-01-30
