url,address,price,baths,beds,dens,street,neighbourhood,city,area,mls_id,property_type,date_scraped
https://east-luther-grand-valley.listing.ca/65-scott-st-11.X8031042.htm#2r-1,65 Scott St 11,499900,2,3,0,Scott St,Grand Valley,East Luther Grand Valley,Other,X8031042,condo_townhome,2024-01-30
https://belleville.listing.ca/351-cannifton-rd-19.X8030788.htm#2r-2,351 Cannifton Rd 19,384900,2,2,0,Cannifton Rd,not_provided,Belleville,Other,X8030788,condo_townhome,2024-01-30
https://toronto.listing.ca/2335-sheppard-ave-9.W8031036.htm#2r-3,2335 Sheppard Ave 9,649000,2,2,0,Sheppard Ave,Humberlea-Pelmo Park W5,Toronto,Toronto,W8031036,condo_townhome,2024-01-30
https://toronto.listing.ca/715-lawrence-ave-29.W8031032.htm#2r-4,715 Lawrence Ave 29,589900,2,2,0,Lawrence Ave,Yorkdale-Glen Park,Toronto,Toronto,W8031032,condo_townhome,2024-01-30
https://halton-hills.listing.ca/41-wylie-circ.W8030882.htm#2r-5,41 Wylie Circ,584900,1,2,0,Wylie Circ,Georgetown,Halton Hills,Halton Region,W8030882,condo_townhome,2024-01-30
https://oakville.listing.ca/3041-creekshore-common.W8030734.htm#2r-6,3041 Creekshore Common,1300000,5,3,1,Creekshore Common,Rural Oakville,Oakville,Halton Region,W8030734,condo_townhome,2024-01-30
https://toronto.listing.ca/100-mornelle-crt-2032.E8030972.htm#2r-7,100 Mornelle Crt 2032,549900,2,2,1,Mornelle Crt,Morningside,Toronto,Toronto,E8030972,condo_townhome,2024-01-30
https://toronto.listing.ca/36-birch-ave-109.C8031012.htm#2r-8,36 Birch Ave 109,3595000,3,2,0,Birch Ave,Yonge-St. Clair,Toronto,Toronto,C8031012,condo_townhome,2024-01-30
https://toronto.listing.ca/1017-college-st.C8030690.htm#2r-9,1017 College St,999900,3,3,0,College St,Little Portugal,Toronto,Toronto,C8030690,condo_townhome,2024-01-30
https://guelph-eramosa.listing.ca/527-main-st-4.X8030636.htm#2r-a,527 Main St 4,999900,3,3,0,Main St,Rockwood,Guelph/Eramosa,Other,X8030636,condo_townhome,2024-01-30
https://mississauga.listing.ca/1180-mississauga-valley-blvd-35.W8030604.htm#2r-b,1180 Mississauga Valley Blvd 35,789000,3,3,0,Mississauga Valley Blvd,Mississauga Valleys,Mississauga,Peel Region,W8030604,condo_townhome,2024-01-30
