url,address,price,baths,beds,dens,street,neighbourhood,city,area,mls_id,property_type,date_scraped
https://brampton.listing.ca/38-lord-simcoe-dr.W7379450.htm#9q-335,38 Lord Simcoe Dr,1199000,4,4,0,Lord Simcoe Dr,Westgate,Brampton,Peel Region,W7379450,detached_home,2024-01-30
https://oakville.listing.ca/9-lambert-common-n-a.W7379330.htm#9q-336,9 Lambert Common N/A,5960000,6,4,0,Lambert Common N/A,Old Oakville,Oakville,Halton Region,W7379330,detached_home,2024-01-30
https://mississauga.listing.ca/3852-rosanna-dr.W7379112.htm#9q-337,3852 Rosanna Dr,2350000,4,4,0,Rosanna Dr,Churchill Meadows,Mississauga,Peel Region,W7379112,detached_home,2024-01-30
https://burlington.listing.ca/2323-pathfinder-dr.W7378734.htm#9q-338,2323 Pathfinder Dr,1200000,2,3,0,Pathfinder Dr,Orchard,Burlington,Halton Region,W7378734,detached_home,2024-01-30
https://burlington.listing.ca/162-fruitland-ave.W7378612.htm#9q-339,162 Fruitland Ave,5995000,5,4,0,Fruitland Ave,Roseland,Burlington,Halton Region,W7378612,detached_home,2024-01-30
https://toronto.listing.ca/30-high-point-rd.C7378334.htm#9q-33a,30 High Point Rd,28000000,12,8,0,High Point Rd,Bridle Path-Sunnybrook-York Mills,Toronto,Toronto,C7378334,detached_home,2024-01-30
https://toronto.listing.ca/135-varna-dr.C7378284.htm#9q-33b,135 Varna Dr,1879000,3,3,1,Varna Dr,Englemount-Lawrence,Toronto,Toronto,C7378284,detached_home,2024-01-30
https://toronto.listing.ca/320-atlas-ave.C7378192.htm#9q-33c,320 Atlas Ave,1918000,4,3,1,Atlas Ave,Oakwood Village,Toronto,Toronto,C7378192,detached_home,2024-01-30
https://toronto.listing.ca/5-swiftdale-pl.C7377472.htm#9q-33d,5 Swiftdale Pl,5200000,5,4,1,Swiftdale Pl,Banbury-Don Mills,Toronto,Toronto,C7377472,detached_home,2024-01-30
https://caledon.listing.ca/10-southridge-tr.W7378436.htm#9q-33e,10 Southridge Tr,2725000,3,2,1,Southridge Tr,Rural Caledon,Caledon,Peel Region,W7378436,detached_home,2024-01-30
https://mississauga.listing.ca/2535-robin-dr.W7378240.htm#9q-33f,2535 Robin Dr,2350000,4,4,3,Robin Dr,Sheridan,Mississauga,Peel Region,W7378240,detached_home,2024-01-30
https://brampton.listing.ca/25-duxbury-rd.W7378206.htm#9q-33g,25 Duxbury Rd,1650000,4,4,0,Duxbury Rd,Sandringham-Wellington North,Brampton,Peel Region,W7378206,detached_home,2024-01-30
https://toronto.listing.ca/103-botfield-ave.W7378168.htm#9q-33h,103 Botfield Ave,3098000,5,4,2,Botfield Ave,Islington-City Centre West,Toronto,Toronto,W7378168,detached_home,2024-01-30
https://orangeville.listing.ca/17-little-york-st.W7378140.htm#9q-33i,17 Little York St,999900,2,4,0,Little York St,Orangeville,Orangeville,Other,W7378140,detached_home,2024-01-30
https://brampton.listing.ca/10-fann-dr.W7378068.htm#9q-33j,10 Fann Dr,1399900,5,4,2,Fann Dr,Northwest Brampton,Brampton,Peel Region,W7378068,detached_home,2024-01-30
https://oakville.listing.ca/1497-duncan-rd.W7378064.htm#9q-33k,1497 Duncan Rd,6780000,8,4,1,Duncan Rd,Eastlake,Oakville,Halton Region,W7378064,detached_home,2024-01-30
https://milton.listing.ca/11678-sixth-line.W7377786.htm#9q-33l,11678 Sixth Line,1799999,4,3,0,Sixth Line,Nassagaweya,Milton,Halton Region,W7377786,detached_home,2024-01-30
https://burlington.listing.ca/2124-deyncourt-dr.W7377752.htm#9q-33m,2124 Deyncourt Dr,1699000,2,3,1,Deyncourt Dr,Brant,Burlington,Halton Region,W7377752,detached_home,2024-01-30
https://oakville.listing.ca/3107-seneca-dr.W7377670.htm#9q-33n,3107 Seneca Dr,2588000,7,4,0,Seneca Dr,Bronte West,Oakville,Halton Region,W7377670,detached_home,2024-01-30
https://toronto.listing.ca/221-church-st.W7377616.htm#9q-33o,221 Church St,1349000,4,3,3,Church St,Weston,Toronto,Toronto,W7377616,detached_home,2024-01-30
https://brampton.listing.ca/41-peppermint-clse.W7377530.htm#9q-33p,41 Peppermint Clse,1499900,6,5,2,Peppermint Clse,Bram East,Brampton,Peel Region,W7377530,detached_home,2024-01-30
https://oakville.listing.ca/3307-harasym-tr.W7377364.htm#9q-33q,3307 Harasym Tr,2395000,4,4,0,Harasym Tr,Rural Oakville,Oakville,Halton Region,W7377364,detached_home,2024-01-30
https://brampton.listing.ca/7596-creditview-rd.W7377300.htm#9q-33r,7596 Creditview Rd,1325000,2,3,0,Creditview Rd,Bram West,Brampton,Peel Region,W7377300,detached_home,2024-01-30
https://oakville.listing.ca/450-saville-cres.W7377256.htm#9q-33s,450 Saville Cres,2999990,6,4,1,Saville Cres,Bronte West,Oakville,Halton Region,W7377256,detached_home,2024-01-30
https://oakville.listing.ca/3052-william-cutmore-blvd.W7377048.htm#9q-33t,3052 William Cutmore Blvd,2495888,4,4,0,William Cutmore Blvd,Rural Oakville,Oakville,Halton Region,W7377048,detached_home,2024-01-30
https://burlington.listing.ca/1412-alfred-cres.W7376914.htm#9q-33u,1412 Alfred Cres,1175000,1,3,0,Alfred Cres,Brant,Burlington,Halton Region,W7376914,detached_home,2024-01-30
https://tiny.listing.ca/2284-tiny-beaches-rd.S7377570.htm#9q-33v,2284 Tiny Beaches Rd,2195000,1,2,1,Tiny Beaches Rd,Rural Tiny,Tiny,Other,S7377570,detached_home,2024-01-30
https://toronto.listing.ca/41-terrace-ave.C7377340.htm#9q-33w,41 Terrace Ave,2199000,5,4,1,Terrace Ave,Willowdale West,Toronto,Toronto,C7377340,detached_home,2024-01-30
https://trent-hills.listing.ca/8720-county-rd-30-rd.X7376754.htm#9q-33x,8720 County Rd 30 Rd,860000,3,3,1,County Rd 30 Rd,Rural Trent Hills,Trent Hills,Other,X7376754,detached_home,2024-01-30
https://southgate.listing.ca/1-doc-lougheed-ave.X7376752.htm#9q-33y,1 Doc Lougheed Ave,789900,4,4,0,Doc Lougheed Ave,Dundalk,Southgate,Other,X7376752,detached_home,2024-01-30
https://fort-erie.listing.ca/1412-dominion-rd.X7376618.htm#9q-33z,1412 Dominion Rd,499900,2,4,0,Dominion Rd,not_provided,Fort Erie,Other,X7376618,detached_home,2024-01-30
https://hamilton.listing.ca/167-james-st.X7376542.htm#9q-340,167 James St,1600000,2,6,0,James St,Strathcona,Hamilton,Other,X7376542,detached_home,2024-01-30
https://kawartha-lakes.listing.ca/341-mary-st.X7376470.htm#9q-341,341 Mary St,649900,2,2,2,Mary St,Lindsay,Kawartha Lakes,Other,X7376470,detached_home,2024-01-30
https://east-garafraxa.listing.ca/111494-11th-line.X7376420.htm#9q-342,111494 11th Line,3499000,3,3,1,11th Line,Rural East Garafraxa,East Garafraxa,Other,X7376420,detached_home,2024-01-30
https://mulmur.listing.ca/707247-county-road-21-rd.X7376404.htm#9q-343,707247 County Road 21 Rd,1629900,3,2,1,County Road 21 Rd,Rural Mulmur,Mulmur,Other,X7376404,detached_home,2024-01-30
https://woolwich.listing.ca/2850-victoria-st.X7376324.htm#9q-344,2850 Victoria St,2349900,4,4,0,Victoria St,not_provided,Woolwich,Other,X7376324,detached_home,2024-01-30
https://tweed.listing.ca/8282-highway-37-rd.X7376244.htm#9q-345,8282 Highway 37 Rd,729000,2,3,0,Highway 37 Rd,not_provided,Tweed,Other,X7376244,detached_home,2024-01-30
https://cambridge.listing.ca/31-forestview-dr.X7376240.htm#9q-346,31 Forestview Dr,1399000,4,4,1,Forestview Dr,not_provided,Cambridge,Other,X7376240,detached_home,2024-01-30
https://georgian-bay.listing.ca/102-hillside-dr.X7376068.htm#9q-347,102 Hillside Dr,1200000,2,2,2,Hillside Dr,not_provided,Georgian Bay,Other,X7376068,detached_home,2024-01-30
https://brant.listing.ca/22-ford-st.X7376022.htm#9q-348,22 Ford St,869900,3,4,0,Ford St,Paris,Brant,Other,X7376022,detached_home,2024-01-30
https://kawartha-lakes.listing.ca/213-snug-harbour-rd.X7375980.htm#9q-349,213 Snug Harbour Rd,949000,2,2,2,Snug Harbour Rd,Rural Fenelon,Kawartha Lakes,Other,X7375980,detached_home,2024-01-30
https://cambridge.listing.ca/122-montrose-st.X7375978.htm#9q-34a,122 Montrose St,425000,2,2,0,Montrose St,not_provided,Cambridge,Other,X7375978,detached_home,2024-01-30
https://cambridge.listing.ca/60-bond-st.X7375880.htm#9q-34b,60 Bond St,600000,2,4,0,Bond St,not_provided,Cambridge,Other,X7375880,detached_home,2024-01-30
https://niagara-falls.listing.ca/7742-sassafras-tr.X7375862.htm#9q-34c,7742 Sassafras Tr,719999,3,3,0,Sassafras Tr,not_provided,Niagara Falls,Other,X7375862,detached_home,2024-01-30
https://port-colborne.listing.ca/115-kinnear-st.X7375816.htm#9q-34d,115 Kinnear St,449000,4,3,2,Kinnear St,not_provided,Port Colborne,Other,X7375816,detached_home,2024-01-30
https://bracebridge.listing.ca/1082-springdale-park-rd.X7375800.htm#9q-34e,1082 Springdale Park Rd,625000,2,3,0,Springdale Park Rd,not_provided,Bracebridge,Other,X7375800,detached_home,2024-01-30
https://north-frontenac.listing.ca/1196-head-rd.X7375746.htm#9q-34f,1196 Head Rd,749900,2,3,0,Head Rd,not_provided,North Frontenac,Other,X7375746,detached_home,2024-01-30
https://prince-edward-county.listing.ca/49-consecon-st.X7375732.htm#9q-34g,49 Consecon St,935000,1,3,0,Consecon St,Wellington,Prince Edward County,Other,X7375732,detached_home,2024-01-30
https://st-catharines.listing.ca/352-geneva-st.X7375626.htm#9q-34h,352 Geneva St,679000,3,3,3,Geneva St,not_provided,St. Catharines,Other,X7375626,detached_home,2024-01-30
https://haldimand.listing.ca/24-lake-rd.X7375598.htm#9q-34i,24 Lake Rd,799000,1,2,0,Lake Rd,Haldimand,Haldimand,Other,X7375598,detached_home,2024-01-30
https://wainfleet.listing.ca/12859-old-lakeshore-rd.X7375416.htm#9q-34j,12859 Old Lakeshore Rd,635000,1,5,0,Old Lakeshore Rd,not_provided,Wainfleet,Other,X7375416,detached_home,2024-01-30
https://hamilton.listing.ca/856-concession-5.X7375390.htm#9q-34k,856 Concession 5,1599900,3,4,0,Concession 5,Rural Flamborough,Hamilton,Other,X7375390,detached_home,2024-01-30
https://peterborough.listing.ca/1291-bathurst-st.X7375268.htm#9q-34l,1291 Bathurst St,588000,2,3,0,Bathurst St,Northcrest,Peterborough,Other,X7375268,detached_home,2024-01-30
https://cambridge.listing.ca/66-queen-st.X7375250.htm#9q-34m,66 Queen St,1149000,4,4,0,Queen St,not_provided,Cambridge,Other,X7375250,detached_home,2024-01-30
https://prince-edward-county.listing.ca/84-bay-breeze-st.X7375158.htm#9q-34n,84 Bay Breeze St,1148000,3,2,2,Bay Breeze St,Ameliasburgh,Prince Edward County,Other,X7375158,detached_home,2024-01-30
https://grey-highlands.listing.ca/135280-9th-line.X7375156.htm#9q-34o,135280 9th Line,1299000,3,2,2,9th Line,Rural Grey Highlands,Grey Highlands,Other,X7375156,detached_home,2024-01-30
https://hamilton-township.listing.ca/9890-ellis-rd.X7375092.htm#9q-34p,9890 Ellis Rd,995000,2,3,1,Ellis Rd,Baltimore,Hamilton Township,Other,X7375092,detached_home,2024-01-30
https://hamilton.listing.ca/8-muir-ave.X7374834.htm#9q-34q,8 Muir Ave,825000,2,3,0,Muir Ave,Berrisfield,Hamilton,Other,X7374834,detached_home,2024-01-30
https://kawartha-lakes.listing.ca/34-trent-river-rd.X7374832.htm#9q-34r,34 Trent River Rd,649900,2,3,0,Trent River Rd,Rural Eldon,Kawartha Lakes,Other,X7374832,detached_home,2024-01-30
