url,address,price,baths,beds,dens,street,neighbourhood,mls_id,city,property_type,date_scraped
https://toronto.listing.ca/2639-keele-st.W8030724.htm#3x-1,2639 Keele St,3950000,12,9,1,Keele St,Maple Leaf,W8030724,Toronto,detached_home,2024-01-30
https://toronto.listing.ca/43-prince-william-crt.E8030966.htm#3x-2,43 Prince William Crt,888888,3,3,1,Prince William Crt,Agincourt South-Malvern West,E8030966,Toronto,detached_home,2024-01-30
https://toronto.listing.ca/146-ascot-ave.W8031028.htm#3x-3,146 Ascot Ave,849000,1,2,0,Ascot Ave,Corso Italia-Davenport,W8031028,Toronto,detached_home,2024-01-30
https://toronto.listing.ca/7-the-wishbone.W8030996.htm#3x-4,7 The Wishbone,969000,2,3,0,The Wishbone,Brookhaven-Amesbury,W8030996,Toronto,detached_home,2024-01-30
https://toronto.listing.ca/34-laver-rd.W8030990.htm#3x-5,34 Laver Rd,1349900,2,3,1,Laver Rd,Eringate-Centennial-West Deane,W8030990,Toronto,detached_home,2024-01-30
https://toronto.listing.ca/21-fenwood-hts.E8030888.htm#3x-6,21 Fenwood Hts,1599000,3,3,0,Fenwood Hts,Cliffcrest,E8030888,Toronto,detached_home,2024-01-30
https://toronto.listing.ca/31-hoyle-ave.C8031052.htm#3x-7,31 Hoyle Ave,3695000,5,4,1,Hoyle Ave,Mount Pleasant East,C8031052,Toronto,detached_home,2024-01-30
https://toronto.listing.ca/17-harrison-rd.C8030954.htm#3x-8,17 Harrison Rd,3499000,3,4,2,Harrison Rd,St. Andrew-Windfields,C8030954,Toronto,detached_home,2024-01-30
https://toronto.listing.ca/58-appian-dr.C8030654.htm#3x-9,58 Appian Dr,1849000,3,3,0,Appian Dr,Bayview Village,C8030654,Toronto,detached_home,2024-01-30
https://toronto.listing.ca/195-rathburn-rd.W8030630.htm#3x-a,195 Rathburn Rd,1699999,3,3,0,Rathburn Rd,Islington-City Centre West,W8030630,Toronto,detached_home,2024-01-30
https://toronto.listing.ca/80-eastwood-ave.E8030682.htm#3x-b,80 Eastwood Ave,1199800,2,3,0,Eastwood Ave,Birchcliffe-Cliffside,E8030682,Toronto,detached_home,2024-01-30
https://toronto.listing.ca/19-boxdene-ave.E8030632.htm#3x-c,19 Boxdene Ave,1388000,5,3,2,Boxdene Ave,Milliken,E8030632,Toronto,detached_home,2024-01-30
https://toronto.listing.ca/51-tidefall-dr.E8030554.htm#3x-d,51 Tidefall Dr,1188000,4,4,0,Tidefall Dr,L'Amoreaux,E8030554,Toronto,detached_home,2024-01-30
https://toronto.listing.ca/20-oshea-cres.C8030562.htm#3x-e,20 O'shea Cres,1388000,3,4,1,O'shea Cres,Don Valley Village,C8030562,Toronto,detached_home,2024-01-30
