url,address,price,baths,beds,dens,street,neighbourhood,city,area,mls_id,property_type,date_scraped
https://niagara-on-the-lake.listing.ca/305-centre-st.X7365082.htm#9q-3h1,305 Centre St,1349000,3,3,1,Centre St,not_provided,Niagara-on-the-Lake,Other,X7365082,detached_home,2024-01-30
https://georgina.listing.ca/3-inlet-crt.N7365194.htm#9q-3h2,3 Inlet Crt,599900,2,3,0,Inlet Crt,Sutton & Jackson's Point,Georgina,York Region,N7365194,detached_home,2024-01-30
https://brock.listing.ca/1090-concession-11-rd.N7364980.htm#9q-3h3,1090 Concession 11 Rd,1399000,1,2,0,Concession 11 Rd,Cannington,Brock,Durham Region,N7364980,detached_home,2024-01-30
https://caledon.listing.ca/16218-airport-rd.W7365416.htm#9q-3h4,16218 Airport Rd,969500,1,2,1,Airport Rd,Caledon East,Caledon,Peel Region,W7365416,detached_home,2024-01-30
https://milton.listing.ca/269-martin-st.W7364976.htm#9q-3h5,269 Martin St,3298000,6,4,0,Martin St,Old Milton,Milton,Halton Region,W7364976,detached_home,2024-01-30
https://halton-hills.listing.ca/7-guelph-st.W7365374.htm#9q-3h6,7 Guelph St,1285000,4,5,0,Guelph St,Georgetown,Halton Hills,Halton Region,W7365374,detached_home,2024-01-30
https://oshawa.listing.ca/86-bloor-st.E7364810.htm#9q-3h8,86 Bloor St,649900,1,2,0,Bloor St,Lakeview,Oshawa,Durham Region,E7364810,detached_home,2024-01-30
https://toronto.listing.ca/564-dufferin-st.C7364818.htm#9q-3h9,564 Dufferin St,2379998,6,6,3,Dufferin St,Little Portugal,Toronto,Toronto,C7364818,detached_home,2024-01-30
https://grey-highlands.listing.ca/793016-simcoe-county-rd-124.X7364742.htm#9q-3ha,793016 Simcoe County Rd 124,1625000,4,3,1,Simcoe County Rd 124,Rural Grey Highlands,Grey Highlands,Other,X7364742,detached_home,2024-01-30
https://clearview.listing.ca/205-park-dr.S7364690.htm#9q-3hb,205 Park Dr,1259999,2,2,1,Park Dr,Stayner,Clearview,Other,S7364690,detached_home,2024-01-30
https://toronto.listing.ca/127-moore-park-ave.C7364654.htm#9q-3hc,127 Moore Park Ave,1688800,2,3,1,Moore Park Ave,Newtonbrook West,Toronto,Toronto,C7364654,detached_home,2024-01-30
https://puslinch.listing.ca/45-holly-tr.X7364588.htm#9q-3hd,45 Holly Tr,999999,2,3,0,Holly Tr,Rural Puslinch,Puslinch,Other,X7364588,detached_home,2024-01-30
https://hamilton.listing.ca/1671-king-st.X7364516.htm#9q-3he,1671 King St,799900,3,4,1,King St,Delta,Hamilton,Other,X7364516,detached_home,2024-01-30
https://wellington-north.listing.ca/407-durham-st.X7364432.htm#9q-3hf,407 Durham St,729000,2,3,2,Durham St,Mount Forest,Wellington North,Other,X7364432,detached_home,2024-01-30
https://belleville.listing.ca/775-moira-st.X7364362.htm#9q-3hg,775 Moira St,899900,3,1,3,Moira St,not_provided,Belleville,Other,X7364362,detached_home,2024-01-30
https://kawartha-lakes.listing.ca/51-cameron-rd.X7364288.htm#9q-3hh,51 Cameron Rd,549900,2,3,0,Cameron Rd,Rural Laxton,Kawartha Lakes,Other,X7364288,detached_home,2024-01-30
https://brantford.listing.ca/122-william-st.X7364282.htm#9q-3hi,122 William St,524900,2,3,0,William St,not_provided,Brantford,Other,X7364282,detached_home,2024-01-30
https://howick.listing.ca/3014-brookhaven-dr.X7364202.htm#9q-3hj,3014 Brookhaven Dr,690000,3,3,2,Brookhaven Dr,not_provided,Howick,Other,X7364202,detached_home,2024-01-30
https://thorold.listing.ca/43-thorold-ave.X7364196.htm#9q-3hk,43 Thorold Ave,849900,2,3,0,Thorold Ave,not_provided,Thorold,Other,X7364196,detached_home,2024-01-30
https://windsor.listing.ca/966-brant-st.X7364144.htm#9q-3hl,966 Brant St,499000,2,4,0,Brant St,not_provided,Windsor,Other,X7364144,detached_home,2024-01-30
https://welland.listing.ca/465-east-main-st.X7364132.htm#9q-3hm,465 East Main St,324900,1,3,0,East Main St,not_provided,Welland,Other,X7364132,detached_home,2024-01-30
https://cambridge.listing.ca/110-bloomfield-cres.X7364104.htm#9q-3hn,110 Bloomfield Cres,1199990,3,4,0,Bloomfield Cres,not_provided,Cambridge,Other,X7364104,detached_home,2024-01-30
