url,address,price,baths,beds,dens,street,neighbourhood,mls_id,city,property_type,date_scraped
https://toronto.listing.ca/36-eli-shackleton-crt.E7058624.htm#rt-7r,36 Eli Shackleton Crt,849900,2,3,0,Eli Shackleton Crt,West Hill,E7058624,Toronto,freehold _townhome,2024-01-30
https://toronto.listing.ca/31-rose-ave.C7060482.htm#rt-7s,31 Rose Ave,2649000,3,5,0,Rose Ave,Cabbagetown-South St. James Town,C7060482,Toronto,freehold _townhome,2024-01-30
https://toronto.listing.ca/2650-st-clair-ave.W7050138.htm#rt-7t,2650 St Clair Ave,1559990,2,3,0,St Clair Ave,Rockcliffe-Smythe,W7050138,Toronto,freehold _townhome,2024-01-30
https://toronto.listing.ca/15-howard-park-ave.W7049242.htm#rt-7u,15 Howard Park Ave,1188888,2,3,0,Howard Park Ave,Roncesvalles,W7049242,Toronto,freehold _townhome,2024-01-30
https://toronto.listing.ca/503-brunswick-ave.C7030782.htm#rt-7v,503 Brunswick Ave,2399000,3,4,1,Brunswick Ave,Annex,C7030782,Toronto,freehold _townhome,2024-01-30
https://toronto.listing.ca/743-gerrard-st.E7022522.htm#rt-7w,743 Gerrard St,1199999,4,4,1,Gerrard St,South Riverdale,E7022522,Toronto,freehold _townhome,2024-01-30
https://toronto.listing.ca/46-hazelton-ave.C7010326.htm#rt-7x,46 Hazelton Ave,5995000,4,4,0,Hazelton Ave,Annex,C7010326,Toronto,freehold _townhome,2024-01-30
https://toronto.listing.ca/64-huddleston-crt.E7002088.htm#rt-7y,64 Huddleston Crt,849000,2,3,3,Huddleston Crt,Clairlea-Birchmount,E7002088,Toronto,freehold _townhome,2024-01-30
https://toronto.listing.ca/471-northcliffe-blvd.C6817508.htm#rt-7z,471 Northcliffe Blvd,1389000,3,3,1,Northcliffe Blvd,Oakwood Village,C6817508,Toronto,freehold _townhome,2024-01-30
https://toronto.listing.ca/1147-dufferin-st.W6813144.htm#rt-80,1147 Dufferin St,1100000,2,5,1,Dufferin St,Dovercourt-Wallace Emerson-Junction,W6813144,Toronto,freehold _townhome,2024-01-30
https://toronto.listing.ca/687-markham-st.C6812822.htm#rt-81,687 Markham St,1495000,2,4,0,Markham St,Annex,C6812822,Toronto,freehold _townhome,2024-01-30
https://toronto.listing.ca/112-givins-st.C6809070.htm#rt-82,112 Givins St,4250000,5,4,2,Givins St,Trinity-Bellwoods,C6809070,Toronto,freehold _townhome,2024-01-30
https://toronto.listing.ca/80-joseph-griffith-lane.W6788706.htm#rt-83,80 Joseph Griffith Lane,899900,3,3,0,Joseph Griffith Lane,Downsview-Roding-CFB,W6788706,Toronto,freehold _townhome,2024-01-30
https://toronto.listing.ca/31-tyndall-ave.W6034727.htm#rt-84,31 Tyndall Ave,2600000,4,6,1,Tyndall Ave,South Parkdale,W6034727,Toronto,freehold _townhome,2024-01-30
https://toronto.listing.ca/983-old-cummer-ave.C6782048.htm#rt-85,983 Old Cummer Ave,1250000,3,3,3,Old Cummer Ave,Bayview Woods-Steeles,C6782048,Toronto,freehold _townhome,2024-01-30
https://toronto.listing.ca/38-bowsfield-rd.W6771798.htm#rt-86,38 Bowsfield Rd,1199000,6,4,3,Bowsfield Rd,York University Heights,W6771798,Toronto,freehold _townhome,2024-01-30
https://toronto.listing.ca/22-webster-ave.C6766372.htm#rt-87,22 Webster Ave,5888000,6,4,1,Webster Ave,Annex,C6766372,Toronto,freehold _townhome,2024-01-30
https://toronto.listing.ca/121-niagara-st.C6761348.htm#rt-88,121 Niagara St,1449000,2,6,1,Niagara St,Niagara,C6761348,Toronto,freehold _townhome,2024-01-30
https://toronto.listing.ca/63-hazelwood-ave.E6760620.htm#rt-89,63 Hazelwood Ave,1548000,3,4,1,Hazelwood Ave,Blake-Jones,E6760620,Toronto,freehold _townhome,2024-01-30
https://toronto.listing.ca/1756-queen-st.E6759458.htm#rt-8a,1756 Queen St,1299900,2,3,0,Queen St,The Beaches,E6759458,Toronto,freehold _townhome,2024-01-30
https://toronto.listing.ca/395-murray-ross-pkwy.W6736308.htm#rt-8b,395 Murray Ross Pkwy,1395000,5,7,3,Murray Ross Pkwy,York University Heights,W6736308,Toronto,freehold _townhome,2024-01-30
https://toronto.listing.ca/53-hazelton-ave.C6726490.htm#rt-8c,53 Hazelton Ave,6980000,4,3,0,Hazelton Ave,Annex,C6726490,Toronto,freehold _townhome,2024-01-30
https://toronto.listing.ca/51-hazelton-ave.C6726408.htm#rt-8d,51 Hazelton Ave,8580000,5,4,0,Hazelton Ave,Annex,C6726408,Toronto,freehold _townhome,2024-01-30
https://toronto.listing.ca/554-christie-st.C6695632.htm#rt-8e,554 Christie St,1498800,2,5,0,Christie St,Wychwood,C6695632,Toronto,freehold _townhome,2024-01-30
https://toronto.listing.ca/5-aitken-pl.C6159908.htm#rt-8f,5 Aitken Pl,1175000,1,3,0,Aitken Pl,Waterfront Communities C8,C6159908,Toronto,freehold _townhome,2024-01-30
https://toronto.listing.ca/3-robert-hicks-dr.C6157296.htm#rt-8g,3 Robert Hicks Dr,1299000,3,4,2,Robert Hicks Dr,Westminster-Branson,C6157296,Toronto,freehold _townhome,2024-01-30
https://toronto.listing.ca/15-medford-ave.E6035599.htm#rt-8h,15 Medford Ave,1399000,3,3,1,Medford Ave,Oakridge,E6035599,Toronto,freehold _townhome,2024-01-30
https://toronto.listing.ca/124-baldwin-st.C5990565.htm#rt-8i,124 Baldwin St,2750000,8,4,2,Baldwin St,Kensington-Chinatown,C5990565,Toronto,freehold _townhome,2024-01-30
