mls_id,url,address,price,baths,beds,dens,street,neighbourhood,city,property_type,date_scraped,latitude,longitude
E8018446,https://toronto.listing.ca/286-main-st-911.E8018446.htm#42-1,286 Main St 911,619900,1,1,1,Main St,East End-Danforth,Toronto,condo_apartment,2024-01-30,43.687469,-79.301861
C7266728,https://toronto.listing.ca/215-queen-st-606.C7266728.htm#42-2,215 Queen St 606,529000,1,1,0,Queen St,Waterfront Communities C1,Toronto,condo_apartment,2024-01-30,43.6503428,-79.3878063
W7239426,https://toronto.listing.ca/10-park-lawn-rd-1408.W7239426.htm#42-3,10 Park Lawn Rd 1408,624900,1,1,1,Park Lawn Rd,Mimico,Toronto,condo_apartment,2024-01-30,43.6229459,-79.4816583
E8030950,https://toronto.listing.ca/665-queen-st-402.E8030950.htm#42-4,665 Queen St 402,899900,2,2,0,Queen St,South Riverdale,Toronto,condo_apartment,2024-01-30,43.658361,-79.351159
E8030860,https://toronto.listing.ca/1190-dundas-st-925.E8030860.htm#42-5,1190 Dundas St 925,599900,1,1,0,Dundas St,South Riverdale,Toronto,condo_apartment,2024-01-30,43.665267,-79.341034
E8030780,https://toronto.listing.ca/3121-sheppard-ave-603.E8030780.htm#42-6,3121 Sheppard Ave 603,780000,2,2,0,Sheppard Ave,Tam O'Shanter-Sullivan,Toronto,condo_apartment,2024-01-30,43.776375,-79.317148
E8030754,https://toronto.listing.ca/2359-danforth-ave-716.E8030754.htm#42-7,2359 Danforth Ave 716,700000,2,1,1,Danforth Ave,East End-Danforth,Toronto,condo_apartment,2024-01-30,43.686976568,-79.306541384
C8031014,https://toronto.listing.ca/32-davenport-rd-2905.C8031014.htm#42-8,32 Davenport Rd 2905,2599800,3,3,1,Davenport Rd,Annex,Toronto,condo_apartment,2024-01-30,43.6730659,-79.3897002
C8031008,https://toronto.listing.ca/181-wynford-dr-1201.C8031008.htm#42-9,181 Wynford Dr 1201,580000,1,1,0,Wynford Dr,Banbury-Don Mills,Toronto,condo_apartment,2024-01-30,43.7250886,-79.3260777
C8030930,https://toronto.listing.ca/155-beecroft-rd-201.C8030930.htm#42-a,155 Beecroft Rd 201,569000,1,1,0,Beecroft Rd,Lansing-Westgate,Toronto,condo_apartment,2024-01-30,43.7661991,-79.4151195
C8030890,https://toronto.listing.ca/840-st-clair-ave-302.C8030890.htm#42-b,840 St Clair Ave 302,839000,2,2,0,St Clair Ave,Oakwood Village,Toronto,condo_apartment,2024-01-30,43.680638,-79.431839
