url,address,price,baths,beds,dens,street,neighbourhood,city,area,mls_id,property_type,date_scraped
https://toronto.listing.ca/286-main-st-911.E8018446.htm#4h-1,286 Main St 911,619900,1,1,1,Main St,East End-Danforth,Toronto,Toronto,E8018446,condo_apartment,2024-01-30
https://mississauga.listing.ca/220-forum-dr-1313.W7389400.htm#4h-2,220 Forum Dr 1313,675000,2,2,0,Forum Dr,Hurontario,Mississauga,Peel Region,W7389400,condo_apartment,2024-01-30
https://toronto.listing.ca/215-queen-st-606.C7266728.htm#4h-3,215 Queen St 606,529000,1,1,0,Queen St,Waterfront Communities C1,Toronto,Toronto,C7266728,condo_apartment,2024-01-30
https://toronto.listing.ca/10-park-lawn-rd-1408.W7239426.htm#4h-4,10 Park Lawn Rd 1408,624900,1,1,1,Park Lawn Rd,Mimico,Toronto,Toronto,W7239426,condo_apartment,2024-01-30
https://barrie.listing.ca/7-greenwich-st-206.S8030768.htm#4h-5,7 Greenwich St 206,560000,2,2,0,Greenwich St,Ardagh,Barrie,Other,S8030768,condo_apartment,2024-01-30
https://toronto.listing.ca/665-queen-st-402.E8030950.htm#4h-6,665 Queen St 402,899900,2,2,0,Queen St,South Riverdale,Toronto,Toronto,E8030950,condo_apartment,2024-01-30
https://toronto.listing.ca/1190-dundas-st-925.E8030860.htm#4h-7,1190 Dundas St 925,599900,1,1,0,Dundas St,South Riverdale,Toronto,Toronto,E8030860,condo_apartment,2024-01-30
https://toronto.listing.ca/3121-sheppard-ave-603.E8030780.htm#4h-8,3121 Sheppard Ave 603,780000,2,2,0,Sheppard Ave,Tam O'Shanter-Sullivan,Toronto,Toronto,E8030780,condo_apartment,2024-01-30
https://toronto.listing.ca/2359-danforth-ave-716.E8030754.htm#4h-9,2359 Danforth Ave 716,700000,2,1,1,Danforth Ave,East End-Danforth,Toronto,Toronto,E8030754,condo_apartment,2024-01-30
https://toronto.listing.ca/32-davenport-rd-2905.C8031014.htm#4h-a,32 Davenport Rd 2905,2599800,3,3,1,Davenport Rd,Annex,Toronto,Toronto,C8031014,condo_apartment,2024-01-30
https://toronto.listing.ca/181-wynford-dr-1201.C8031008.htm#4h-b,181 Wynford Dr 1201,580000,1,1,0,Wynford Dr,Banbury-Don Mills,Toronto,Toronto,C8031008,condo_apartment,2024-01-30
https://toronto.listing.ca/155-beecroft-rd-201.C8030930.htm#4h-c,155 Beecroft Rd 201,569000,1,1,0,Beecroft Rd,Lansing-Westgate,Toronto,Toronto,C8030930,condo_apartment,2024-01-30
https://toronto.listing.ca/840-st-clair-ave-302.C8030890.htm#4h-d,840 St Clair Ave 302,839000,2,2,0,St Clair Ave,Oakwood Village,Toronto,Toronto,C8030890,condo_apartment,2024-01-30
https://toronto.listing.ca/55-harrison-garden-blvd-707.C8030848.htm#4h-e,55 Harrison Garden Blvd 707,589000,1,1,0,Harrison Garden Blvd,Willowdale East,Toronto,Toronto,C8030848,condo_apartment,2024-01-30
https://toronto.listing.ca/88-scott-st-1201.C8030840.htm#4h-f,88 Scott St 1201,675000,1,1,1,Scott St,Church-Yonge Corridor,Toronto,Toronto,C8030840,condo_apartment,2024-01-30
https://toronto.listing.ca/181-bedford-rd-907.C8030836.htm#4h-g,181 Bedford Rd 907,1099000,2,3,0,Bedford Rd,Annex,Toronto,Toronto,C8030836,condo_apartment,2024-01-30
https://toronto.listing.ca/35-empress-ave-1604.C8030826.htm#4h-h,35 Empress Ave 1604,839000,2,2,0,Empress Ave,Willowdale East,Toronto,Toronto,C8030826,condo_apartment,2024-01-30
https://toronto.listing.ca/180-university-ave-5207.C8030814.htm#4h-i,180 University Ave 5207,1338000,1,1,0,University Ave,Bay Street Corridor,Toronto,Toronto,C8030814,condo_apartment,2024-01-30
https://toronto.listing.ca/99-foxbar-rd-1507.C8030762.htm#4h-j,99 Foxbar Rd 1507,399000,1,1,0,Foxbar Rd,Yonge-St. Clair,Toronto,Toronto,C8030762,condo_apartment,2024-01-30
https://toronto.listing.ca/900-mount-pleasant-rd-1308.C8030702.htm#4h-k,900 Mount Pleasant Rd 1308,669000,1,1,0,Mount Pleasant Rd,Mount Pleasant West,Toronto,Toronto,C8030702,condo_apartment,2024-01-30
https://toronto.listing.ca/15-beverley-st-404.C8030698.htm#4h-l,15 Beverley St 404,849000,2,2,0,Beverley St,Kensington-Chinatown,Toronto,Toronto,C8030698,condo_apartment,2024-01-30
https://burlington.listing.ca/1237-north-shore-blvd-301.W8031030.htm#4h-m,1237 North Shore Blvd 301,1049900,2,2,0,North Shore Blvd,Brant,Burlington,Halton Region,W8031030,condo_apartment,2024-01-30
https://toronto.listing.ca/830-lawrence-ave-2609.W8031016.htm#4h-n,830 Lawrence Ave 2609,529900,1,1,0,Lawrence Ave,Glenfield-Jane Heights,Toronto,Toronto,W8031016,condo_apartment,2024-01-30
https://toronto.listing.ca/451-the-west-mall-820.W8030994.htm#4h-o,451 The West Mall 820,515000,1,1,0,The West Mall,Etobicoke West Mall,Toronto,Toronto,W8030994,condo_apartment,2024-01-30
https://toronto.listing.ca/2200-lake-shore-blvd-905.W8030970.htm#4h-p,2200 Lake Shore Blvd 905,569900,1,1,0,Lake Shore Blvd,Mimico,Toronto,Toronto,W8030970,condo_apartment,2024-01-30
