url,address,price,baths,beds,dens,street,neighbourhood,mls_id,city,property_type,date_scraped
https://toronto.listing.ca/200-russell-hill-rd-502.C8029302.htm#42-2i,200 Russell Hill Rd 502,16995000,7,4,2,Russell Hill Rd,Casa Loma,C8029302,Toronto,condo_apartment,2024-01-30
https://toronto.listing.ca/8-covington-rd-1206.C8029272.htm#42-2j,8 Covington Rd 1206,729900,2,2,0,Covington Rd,Englemount-Lawrence,C8029272,Toronto,condo_apartment,2024-01-30
https://toronto.listing.ca/60-queen-st-3207.C8029256.htm#42-2k,60 Queen St 3207,1180000,2,2,0,Queen St,Church-Yonge Corridor,C8029256,Toronto,condo_apartment,2024-01-30
https://toronto.listing.ca/159-dundas-st-403.C8029252.htm#42-2l,159 Dundas St 403,549000,1,1,1,Dundas St,Church-Yonge Corridor,C8029252,Toronto,condo_apartment,2024-01-30
https://toronto.listing.ca/123-eglinton-ave-ph1.C8029200.htm#42-2m,123 Eglinton Ave Ph1,1799000,2,3,0,Eglinton Ave,Mount Pleasant West,C8029200,Toronto,condo_apartment,2024-01-30
https://toronto.listing.ca/60-queen-st-1601.C8029162.htm#42-2n,60 Queen St 1601,699000,1,0,0,Queen St,Church-Yonge Corridor,C8029162,Toronto,condo_apartment,2024-01-30
https://toronto.listing.ca/100-leeward-glwy-1809.C8029152.htm#42-2o,100 Leeward Glwy 1809,499988,2,3,0,Leeward Glwy,Flemingdon Park,C8029152,Toronto,condo_apartment,2024-01-30
https://toronto.listing.ca/65-east-liberty-st-1505.C7396626.htm#42-2p,65 East Liberty St 1505,798899,1,1,0,East Liberty St,Niagara,C7396626,Toronto,condo_apartment,2024-01-30
https://toronto.listing.ca/200-lotherton-ptwy-1006.W8028880.htm#42-2q,200 Lotherton Ptwy 1006,489900,1,2,0,Lotherton Ptwy,Yorkdale-Glen Park,W8028880,Toronto,condo_apartment,2024-01-30
https://toronto.listing.ca/155-legion-rd-1808.W8028866.htm#42-2r,155 Legion Rd 1808,460000,1,1,0,Legion Rd,Mimico,W8028866,Toronto,condo_apartment,2024-01-30
https://toronto.listing.ca/10-markbrook-lane-1903.W8028860.htm#42-2s,10 Markbrook Lane 1903,579999,2,2,1,Markbrook Lane,Mount Olive-Silverstone-Jamestown,W8028860,Toronto,condo_apartment,2024-01-30
https://toronto.listing.ca/80-esther-lorrie-dr-617.W8028816.htm#42-2t,80 Esther Lorrie Dr 617,459900,1,1,0,Esther Lorrie Dr,West Humber-Clairville,W8028816,Toronto,condo_apartment,2024-01-30
https://toronto.listing.ca/50-thomas-riley-rd-1003.W8028528.htm#42-2u,50 Thomas Riley Rd 1003,1238900,2,2,1,Thomas Riley Rd,Islington-City Centre West,W8028528,Toronto,condo_apartment,2024-01-30
https://toronto.listing.ca/2874-keele-st-302.W8028498.htm#42-2v,2874 Keele St 302,399000,1,1,0,Keele St,Downsview-Roding-CFB,W8028498,Toronto,condo_apartment,2024-01-30
https://toronto.listing.ca/270-dufferin-st-815.W8028486.htm#42-2w,270 Dufferin St 815,999888,2,3,0,Dufferin St,South Parkdale,W8028486,Toronto,condo_apartment,2024-01-30
https://toronto.listing.ca/5233-dundas-st-1919.W8028400.htm#42-2x,5233 Dundas St 1919,589000,1,1,1,Dundas St,Islington-City Centre West,W8028400,Toronto,condo_apartment,2024-01-30
https://toronto.listing.ca/40-richview-rd-802.W8028308.htm#42-2y,40 Richview Rd 802,529000,1,1,0,Richview Rd,Humber Heights,W8028308,Toronto,condo_apartment,2024-01-30
https://toronto.listing.ca/152-annette-st-201.W8028300.htm#42-2z,152 Annette St 201,629900,1,1,0,Annette St,Junction Area,W8028300,Toronto,condo_apartment,2024-01-30
https://toronto.listing.ca/50-thomas-riley-rd-208.W8028298.htm#42-30,50 Thomas Riley Rd 208,951900,1,1,1,Thomas Riley Rd,Islington-City Centre West,W8028298,Toronto,condo_apartment,2024-01-30
https://toronto.listing.ca/1245-dupont-st-1410.W8028186.htm#42-31,1245 Dupont St 1410,1149900,2,3,1,Dupont St,Dovercourt-Wallace Emerson-Junction,W8028186,Toronto,condo_apartment,2024-01-30
https://toronto.listing.ca/59-annie-craig-dr-201.W8028170.htm#42-32,59 Annie Craig Dr 201,629000,1,1,0,Annie Craig Dr,Mimico,W8028170,Toronto,condo_apartment,2024-01-30
