url,address,price,baths,beds,dens,street,neighbourhood,mls_id,city,property_type,date_scraped
https://toronto.listing.ca/2335-sheppard-ave-9.W8031036.htm#wx-1,2335 Sheppard Ave 9,649000,2,2,0,Sheppard Ave,Humberlea-Pelmo Park W5,W8031036,Toronto,condo_townhome,2024-01-30
https://toronto.listing.ca/715-lawrence-ave-29.W8031032.htm#wx-2,715 Lawrence Ave 29,589900,2,2,0,Lawrence Ave,Yorkdale-Glen Park,W8031032,Toronto,condo_townhome,2024-01-30
https://toronto.listing.ca/100-mornelle-crt-2032.E8030972.htm#wx-3,100 Mornelle Crt 2032,549900,2,2,1,Mornelle Crt,Morningside,E8030972,Toronto,condo_townhome,2024-01-30
https://toronto.listing.ca/36-birch-ave-109.C8031012.htm#wx-4,36 Birch Ave 109,3595000,3,2,0,Birch Ave,Yonge-St. Clair,C8031012,Toronto,condo_townhome,2024-01-30
https://toronto.listing.ca/1017-college-st.C8030690.htm#wx-5,1017 College St,999900,3,3,0,College St,Little Portugal,C8030690,Toronto,condo_townhome,2024-01-30
https://toronto.listing.ca/44-boston-ave-2.E8030648.htm#wx-6,44 Boston Ave 2,699900,1,1,0,Boston Ave,South Riverdale,E8030648,Toronto,condo_townhome,2024-01-30
https://toronto.listing.ca/4001-don-mills-rd-322.C8030556.htm#wx-7,4001 Don Mills Rd 322,599000,2,2,1,Don Mills Rd,Hillcrest Village,C8030556,Toronto,condo_townhome,2024-01-30
https://toronto.listing.ca/1881-mcnicoll-ave-515.E8030334.htm#wx-8,1881 Mcnicoll Ave 515,849900,3,3,1,Mcnicoll Ave,Steeles,E8030334,Toronto,condo_townhome,2024-01-30
https://toronto.listing.ca/89-rock-fern-way.C8030276.htm#wx-9,89 Rock Fern Way,928000,2,3,2,Rock Fern Way,Don Valley Village,C8030276,Toronto,condo_townhome,2024-01-30
https://toronto.listing.ca/1086-bay-st-16.C8029518.htm#wx-a,1086 Bay St 16,2675000,4,3,0,Bay St,Bay Street Corridor,C8029518,Toronto,condo_townhome,2024-01-30
https://toronto.listing.ca/12-dervock-cres-19.C8029148.htm#wx-b,12 Dervock Cres 19,988800,3,2,0,Dervock Cres,Bayview Village,C8029148,Toronto,condo_townhome,2024-01-30
https://toronto.listing.ca/85-east-liberty-st-th121.C8028536.htm#wx-c,85 East Liberty St Th121,875000,2,2,0,East Liberty St,Niagara,C8028536,Toronto,condo_townhome,2024-01-30
https://toronto.listing.ca/6-buddleswood-crt.E8028072.htm#wx-d,6 Buddleswood Crt,799000,2,3,1,Buddleswood Crt,Agincourt North,E8028072,Toronto,condo_townhome,2024-01-30
https://toronto.listing.ca/12-burdock-lane.C8028110.htm#wx-e,12 Burdock Lane,848000,2,3,0,Burdock Lane,Banbury-Don Mills,C8028110,Toronto,condo_townhome,2024-01-30
https://toronto.listing.ca/195-redpath-ave-th01.C8028094.htm#wx-f,195 Redpath Ave Th01,1098000,3,2,1,Redpath Ave,Mount Pleasant West,C8028094,Toronto,condo_townhome,2024-01-30
https://toronto.listing.ca/60-homewood-ave-115.C8027636.htm#wx-g,60 Homewood Ave 115,1100000,4,2,1,Homewood Ave,Cabbagetown-South St. James Town,C8027636,Toronto,condo_townhome,2024-01-30
https://toronto.listing.ca/17-yellow-birchway.C8026858.htm#wx-h,17 Yellow Birchway,689000,2,3,0,Yellow Birchway,Hillcrest Village,C8026858,Toronto,condo_townhome,2024-01-30
https://toronto.listing.ca/25-dervock-cres-3.C8026842.htm#wx-i,25 Dervock Cres 3,1688800,4,4,0,Dervock Cres,Bayview Village,C8026842,Toronto,condo_townhome,2024-01-30
https://toronto.listing.ca/37-four-winds-dr-11.W8026670.htm#wx-j,37 Four Winds Dr 11,630000,1,2,0,Four Winds Dr,York University Heights,W8026670,Toronto,condo_townhome,2024-01-30
https://toronto.listing.ca/829-richmond-st-202.C8026578.htm#wx-k,829 Richmond St 202,859900,2,3,1,Richmond St,Niagara,C8026578,Toronto,condo_townhome,2024-01-30
https://toronto.listing.ca/829-richmond-st-201.C8026574.htm#wx-l,829 Richmond St 201,879900,2,3,1,Richmond St,Niagara,C8026574,Toronto,condo_townhome,2024-01-30
https://toronto.listing.ca/39-drewry-ave-36.C8026458.htm#wx-m,39 Drewry Ave 36,799000,2,2,1,Drewry Ave,Newtonbrook West,C8026458,Toronto,condo_townhome,2024-01-30
https://toronto.listing.ca/135-antibes-dr-th3.C8026110.htm#wx-n,135 Antibes Dr Th3,1489000,3,4,1,Antibes Dr,Westminster-Branson,C8026110,Toronto,condo_townhome,2024-01-30
https://toronto.listing.ca/6450-finch-ave-172.W8025716.htm#wx-o,6450 Finch Ave 172,759000,2,3,1,Finch Ave,Mount Olive-Silverstone-Jamestown,W8025716,Toronto,condo_townhome,2024-01-30
https://toronto.listing.ca/115-long-branch-ave-27.W8024248.htm#wx-p,115 Long Branch Ave 27,949999,3,2,0,Long Branch Ave,Long Branch,W8024248,Toronto,condo_townhome,2024-01-30
https://toronto.listing.ca/60-winston-park-blvd-66.W8023354.htm#wx-q,60 Winston Park Blvd 66,789000,3,2,1,Winston Park Blvd,Downsview-Roding-CFB,W8023354,Toronto,condo_townhome,2024-01-30
https://toronto.listing.ca/26-humberwood-blvd-4.W8023334.htm#wx-r,26 Humberwood Blvd #4,888888,3,3,0,Humberwood Blvd,West Humber-Clairville,W8023334,Toronto,condo_townhome,2024-01-30
