mls_id,property_type,address,street,neighbourhood,city,price,baths,beds,dens,latitude,longitude,date_scraped,url
W7342972,condo_apartment,1320 Islington Ave 405,Islington Ave,Islington-City Centre West,Toronto,749900,2,2,1,43.650314,-79.526690033,2024-01-30,https://toronto.listing.ca/1320-islington-ave-405.W7342972.htm#42-1l1
W7342346,condo_apartment,5233 Dundas St 524,Dundas St,Islington-City Centre West,Toronto,649900,1,1,1,43.63886735,-79.5369141,2024-01-30,https://toronto.listing.ca/5233-dundas-st-524.W7342346.htm#42-1l2
W7342300,condo_apartment,4673 Jane St 525,Jane St,Black Creek,Toronto,314900,1,2,0,43.77017,-79.519993694,2024-01-30,https://toronto.listing.ca/4673-jane-st-525.W7342300.htm#42-1l3
C7343544,condo_apartment,5418 Yonge St 2502,Yonge St,Willowdale West,Toronto,1368000,2,3,1,43.7755867,-79.4146714,2024-01-30,https://toronto.listing.ca/5418-yonge-st-2502.C7343544.htm#42-1l4
C7343402,condo_apartment,280 Simcoe St 1503,Simcoe St,Kensington-Chinatown,Toronto,1190000,2,2,1,43.655393,-79.389824,2024-01-30,https://toronto.listing.ca/280-simcoe-st-1503.C7343402.htm#42-1l5
C7342950,condo_apartment,832 Bay St 4406,Bay St,Bay Street Corridor,Toronto,778000,1,1,1,43.6616716,-79.3863524,2024-01-30,https://toronto.listing.ca/832-bay-st-4406.C7342950.htm#42-1l6
C7342896,condo_apartment,120 Parliament St 405,Parliament St,Moss Park,Toronto,739990,2,2,0,43.65399869230769,-79.36390769230769,2024-01-30,https://toronto.listing.ca/120-parliament-st-405.C7342896.htm#42-1l7
C7342894,condo_apartment,2 Anndale Dr 2507,Anndale Dr,Willowdale East,Toronto,858000,2,2,0,43.760469,-79.4079828,2024-01-30,https://toronto.listing.ca/2-anndale-dr-2507.C7342894.htm#42-1l8
C7342786,condo_apartment,36 Charlotte St 705,Charlotte St,Waterfront Communities C1,Toronto,759900,2,1,0,43.6465609,-79.3941509,2024-01-30,https://toronto.listing.ca/36-charlotte-st-705.C7342786.htm#42-1l9
C7342408,condo_apartment,21 Nelson St 1022,Nelson St,Waterfront Communities C1,Toronto,745000,2,2,0,43.648879,-79.388044,2024-01-30,https://toronto.listing.ca/21-nelson-st-1022.C7342408.htm#42-1la
E7342930,condo_apartment,1316 Kingston Rd 201,Kingston Rd,Birchcliffe-Cliffside,Toronto,599900,2,1,0,43.6849538,-79.2752683,2024-01-30,https://toronto.listing.ca/1316-kingston-rd-201.E7342930.htm#42-1lb
C7343340,condo_apartment,120 Rosedale Valley Rd 809,Rosedale Valley Rd,Rosedale-Moore Park,Toronto,1350000,2,2,0,43.6745862,-79.386204858,2024-01-30,https://toronto.listing.ca/120-rosedale-valley-rd-809.C7343340.htm#42-1lc
E7341996,condo_apartment,238 Bonis Ave 317,Bonis Ave,Tam O'Shanter-Sullivan,Toronto,820000,2,3,1,43.785835,-79.2897314,2024-01-30,https://toronto.listing.ca/238-bonis-ave-317.E7341996.htm#42-1ld
E7340928,condo_apartment,36 Lee Centre Dr 2311,Lee Centre Dr,Woburn,Toronto,596000,2,2,0,43.7816245,-79.247376168,2024-01-30,https://toronto.listing.ca/36-lee-centre-dr-2311.E7340928.htm#42-1le
E7340332,condo_apartment,30 Meadowglen Pl 2003,Meadowglen Pl,Woburn,Toronto,599900,2,1,1,43.77475555,-79.230683535,2024-01-30,https://toronto.listing.ca/30-meadowglen-pl-2003.E7340332.htm#42-1lf
C7341928,condo_apartment,575 Bloor St 1703,Bloor St,North St. James Town,Toronto,1035000,2,2,0,43.664767,-79.41193,2024-01-30,https://toronto.listing.ca/575-bloor-st-1703.C7341928.htm#42-1lg
C7341762,condo_apartment,251 Jarvis St 2415,Jarvis St,Moss Park,Toronto,579990,1,1,1,43.65754623404256,-79.37461538297872,2024-01-30,https://toronto.listing.ca/251-jarvis-st-2415.C7341762.htm#42-1lh
C7341414,condo_apartment,80 John St 3607,John St,Waterfront Communities C1,Toronto,739900,1,1,1,43.6507625,-79.3916295,2024-01-30,https://toronto.listing.ca/80-john-st-3607.C7341414.htm#42-1li
C7341408,condo_apartment,181 Dundas Street E St 2801,Dundas Street E St,Church-Yonge Corridor,Toronto,650000,1,1,1,43.656969,-79.374122,2024-01-30,https://toronto.listing.ca/181-dundas-street-e-st-2801.C7341408.htm#42-1lj
C7341220,condo_apartment,770 Bay St 909,Bay St,Bay Street Corridor,Toronto,678000,1,1,0,43.6601139,-79.3858466,2024-01-30,https://toronto.listing.ca/770-bay-st-909.C7341220.htm#42-1lk
C7341124,condo_apartment,70 Temperance St 5212,Temperance St,Bay Street Corridor,Toronto,619900,1,1,0,43.6505447,-79.382109847,2024-01-30,https://toronto.listing.ca/70-temperance-st-5212.C7341124.htm#42-1ll
C7340700,condo_apartment,25 Capreol Crt 1607,Capreol Crt,Waterfront Communities C1,Toronto,638000,1,1,1,43.6408028,-79.395573665,2024-01-30,https://toronto.listing.ca/25-capreol-crt-1607.C7340700.htm#42-1lm
C7340596,condo_apartment,14 York St 1404,York St,Waterfront Communities C1,Toronto,629000,1,1,1,43.64203655,-79.381614691,2024-01-30,https://toronto.listing.ca/14-york-st-1404.C7340596.htm#42-1ln
C7340366,condo_apartment,12 York St 5506,York St,Waterfront Communities C1,Toronto,689000,1,1,1,43.64162765,-79.382039866,2024-01-30,https://toronto.listing.ca/12-york-st-5506.C7340366.htm#42-1lo
C7340286,condo_apartment,18 Valley Woods Rd 404,Valley Woods Rd,Parkwoods-Donalda,Toronto,550000,1,1,0,43.7523955,-79.3320155,2024-01-30,https://toronto.listing.ca/18-valley-woods-rd-404.C7340286.htm#42-1lp
C7340244,condo_apartment,77 Shuter St 1516,Shuter St,Church-Yonge Corridor,Toronto,699000,1,1,1,43.65480665,-79.375331844,2024-01-30,https://toronto.listing.ca/77-shuter-st-1516.C7340244.htm#42-1lq
C7340230,condo_apartment,225 Wellesley St 809,Wellesley St,Cabbagetown-South St. James Town,Toronto,599999,2,1,1,43.6674347,-79.3725622,2024-01-30,https://toronto.listing.ca/225-wellesley-st-809.C7340230.htm#42-1lr
C7340218,condo_apartment,38 Monte Kwinter Crt 404,Monte Kwinter Crt,Clanton Park,Toronto,549000,1,2,0,43.733593,-79.448763,2024-01-30,https://toronto.listing.ca/38-monte-kwinter-crt-404.C7340218.htm#42-1ls
